Source Target Weight
道玄真人 位师叔 9
道玄真人 灵尊 16
道玄真人 师叔 5
道玄真人 谷谷主 18
余勇 张小凡 4
金刚 修真 5
金刚 石头 11
金刚 法相 5
金刚 金光 4
金刚 张小凡 10
金刚 法善 4
金刚 庄严肃穆 5
焦黄 普泓 7
师傅 陆雪琪 16
师傅 田不易 4
师傅 水月 12
师傅 道玄真人 6
师傅 文敏 6
师傅 张小凡 9
师傅 师娘 8
师傅 石头 5
大雄宝殿 石阶 4
大雄宝殿 法相 4
天仙子 陆雪琪 8
苍生 明王 6
苍生 法相 5
苍生 周一仙 9
苍生 玲珑 4
苍生 旷世 4
苍生 徐徐 4
苍生 老夫 7
苍生 碧瑶 5
苍生 道玄真人 26
苍生 云易岚 10
苍生 萧逸才 6
苍生 田不易 7
苍生 师兄 41
苍生 林惊羽 4
苍生 殷殷期望 4
苍生 兽神 12
苍生 普泓 27
苍生 老衲 5
隆隆声 松树 4
牛羊 石洞 4
道德 田不易 5
道德 道玄真人 4
冰雪聪明 水月 11
冰雪聪明 田不易 8
冰雪聪明 师兄 4
冰雪聪明 陆雪琪 13
冰雪聪明 明白 5
冰雪聪明 苏茹 4
老先生 张小凡 9
老先生 陆雪琪 4
老先生 谷谷主 4
吸血老妖 王八蛋 9
吸血老妖 野狗道人 35
吸血老妖 老祖宗 5
吸血老妖 元阳 6
吸血老妖 程无牙 4
吸血老妖 鬼王 26
吸血老妖 端木老祖 34
吸血老妖 玄火鉴 6
吸血老妖 周一仙 6
吸血老妖 张小凡 118
吸血老妖 秦无炎 10
吸血老妖 侏儒 6
吸血老妖 还没什 4
吸血老妖 段如山 4
吸血老妖 冷笑 9
吸血老妖 百毒子 33
吸血老妖 田不易 45
吸血老妖 苏茹 18
吸血老妖 阴灵 9
吸血老妖 刘镐 6
吸血老妖 齐昊 18
吸血老妖 苍松 21
吸血老妖 师兄 10
吸血老妖 言语 9
吸血老妖 鬼气森森 6
吸血老妖 老三 27
吸血老妖 红光 21
石非石 兽神 4
石非石 玉非玉 8
侏儒 苍松 6
侏儒 田不易 6
侏儒 吸血老妖 6
侏儒 鬼王 6
竹涛 青翠 4
向正 陆雪琪 6
本宗 鬼王 8
那文士 小兄弟 4
那文士 张小凡 8
周大 周一仙 13
周大 小环 6
小盒子 苍松 4
慈爱 鬼王 6
石洞 张师弟 12
石洞 小灰 4
石洞 碧瑶 18
石洞 牛羊 4
石洞 玄火鉴 9
石洞 周一仙 6
石洞 师姐 5
石洞 石头 16
石洞 张小凡 40
石洞 巨石 9
石洞 小环 5
师娘 小竹峰 27
师娘 明白 24
师娘 大黄 9
师娘 师姐 22
师娘 水月 23
师娘 林惊羽 5
师娘 周一仙 11
师娘 张小凡 137
师娘 顾忌 4
师娘 恩师 13
师娘 宋大仁 122
师娘 杜必书 33
师娘 谢谢 6
师娘 小师弟 10
师娘 苏师叔 6
师娘 何大智 29
师娘 田不易 72
师娘 苏茹 108
师娘 碧瑶 6
师娘 齐昊 15
师娘 陆姑娘 8
师娘 陆雪琪 19
师娘 玉清观 6
师娘 文敏 25
师娘 田灵儿 19
师娘 师兄 36
师娘 师傅 8
师娘 石头 4
师娘 老七 18
师娘 宁死 4
师娘 师叔 9
师娘 连师父 4
师娘 灵儿 8
石洞里 张小凡 4
法阵 兽神 4
了骨玉 熊神 4
林锋 野狗道人 4
林锋 刘镐 4
林锋 齐昊 9
林锋 年老大 10
林锋 张小凡 4
和道玄 子师伯 8
